id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
mh0,mh0,50.0,0,0,0,0,1,1,1,0,1,1
mh1,mh1,50.0,1,0,0,0,0,0,0,0,0,0
mh2,mh2,50.0,1,2,4,1,3,3,3,5,3,3
mh3,mh3,50.0,1,1,1,1,1,1,1,1,1,1
mh4,mh4,50.0,0,0,0,0,1,0,0,0,1,3
mnh0,mnh0,50.0,1,1,1,1,1,1,1,1,1,1
mnh1,mnh1,50.0,1,1,1,1,3,3,3,7,3,6
mnh2,mnh2,50.0,1,1,4,3,3,3,3,15,3,3
mnh3,mnh3,50.0,1,1,1,1,1,1,1,1,1,1
mnh4,mnh4,50.0,1,1,1,1,1,1,1,5,2,2
mnh5,mnh5,50.0,1,1,1,1,1,1,1,1,4,1
mnh6,mnh6,50.0,1,1,1,2,1,1,1,1,1,1
mnh7,mnh7,50.0,1,1,1,1,1,1,1,1,1,1
mnh8,mnh8,50.0,1,1,1,1,1,1,1,1,1,1
mnh9,mnh9,50.0,2,1,1,6,1,3,1,1,1,4
mnh10,mnh10,50.0,1,2,1,1,1,1,1,1,4,4
mnh11,mnh11,50.0,1,1,1,1,1,1,1,1,1,1
mnh12,mnh12,50.0,2,1,1,1,5,4,4,1,5,5
mnh13,mnh13,50.0,1,1,1,1,1,1,1,1,1,1
mnh14,mnh14,50.0,2,1,1,1,1,1,3,1,1,1
lpsh0,lpsh0,1.0,1,1,1/4,3,1,1,1,1,1,1/2
lpsh1,lpsh1,1.0,0,0,1,1,1/3,1,1,1,3/4,3
lpsh2,lpsh2,1.0,1,1,1,1,1,1,1,1,0/1,1
lpsh3,lpsh3,1.0,1,1,1,1,1,1,1,1,1,1
lpsh4,lpsh4,1.0,1,1,1,1,1,1,1,1,1,1
lpsh5,lpsh5,1.0,1,1/2,1,1,1,1,1,1,1,1
lpsnh0,lpsnh0,1.0,2/3,2,7/8,1,1,1,1,9,1/4,5
lpsnh1,lpsnh1,1.0,1,1/2,1,1/3,1,1,1,1,1,1
lpsnh2,lpsnh2,1.0,1,1,1,6,2,2,2,1,2,2/5
lpsnh3,lpsnh3,1.0,1,1,1,2,3,3,3,1,3,3/4
lpsnh4,lpsnh4,1.0,1,1,1,1,1,1,1,1,1,1
lpsnh5,lpsnh5,1.0,1,1,1,1,1,1,1,1,1,1/2
lpsnh6,lpsnh6,1.0,1,1,1/2,1,1,1,1,5,1,1
lpsnh7,lpsnh7,1.0,1,1,1,1,1,1,1,1,1,6
lpsnh8,lpsnh8,1.0,1,1,1,2,4,4,4,1,4,4
lpsnh9,lpsnh9,1.0,1,1,1,1,1/2,1,1,3,2,2
lpsnh10,lpsnh10,1.0,1,1/2,1,1,1,3,1,12,1,11
lpsnh11,lpsnh11,1.0,1,1,1/2,1,1,1,1,8,1,1
lpsnh12,lpsnh12,1.0,9,1,1,1,1,1,1,1,1,1
lpsnh13,lpsnh13,1.0,1,1/2,1,1,1,1,1,1,1,1
lpsnh14,lpsnh14,1.0,1,1,1,1/2,1,1,1,1,1,1
lpsnh15,lpsnh15,1.0,1/2,1/2,1,1,1,1,1,1,1,1
lpsnh16,lpsnh16,1.0,1,1,1,1,2,2,2,1,2,2
lpsnh17,lpsnh17,1.0,1,1/2,1,1,1,1,1,6,1,1
lpsnh18,lpsnh18,1.0,1,1,1/4,1,1,1,1,4,1/2,2/3
lpsnh19,lpsnh19,1.0,1,1,1,1,1,1,1,1,1,1
lpsnh20,lpsnh20,1.0,1,1,1,1,2,2/3,2,6,2/4,2
lpsnh21,lpsnh21,1.0,1,1,1,1,1,1,1,3,2,1
lpsnh22,lpsnh22,1.0,1,2,1,1,1,1,1,1,1,1
lpsnh23,lpsnh23,1.0,1,1,1,1/10/11,1,1,1,1,1,6
lpsnh24,lpsnh24,1.0,1,1,1,1,1/2,1,1,1,1/2,1/2
lpsnh25,lpsnh25,1.0,1,1,1,1,1,1,1,2,1,1
lpsnh26,lpsnh26,1.0,1,1,1,1,1,1,1,1,1,2
lpsnh27,lpsnh27,1.0,1,1,1,1,1/2,2,2,1,1/2,2
